Clinic Name,Street Address,City,State,ZIP Code,X,Y,Last Updated,Clinic Website,Phone Number,Volume Ordered,Order Date,Federal Allocation,Open Data Link
CVS/pharmacy02496,890 Welsh Road,Maple Glen,Pennsylvania,19002,-75.210498,40.170307,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02514,702 Chester Pike,Sharon Hill,Pennsylvania,19079,-75.26828,39.912119,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02552,702 Chester Pike,Prospect Park,Pennsylvania,19076,-75.303907,39.883932,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02565,110 Reuter Blvd,Towanda,Pennsylvania,18848,-76.450707,41.783565,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02687,105 East Uwchlan Avenue,Exton,Pennsylvania,19341,-75.653655,40.060501,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02756,2507 West Chester Pike,Broomall,Pennsylvania,19008,-75.357463,39.98148,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02785,1306 MacDade Boulevard,Woodlyn,Pennsylvania,19094,-75.344666,39.877806,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02867,1937 MacDade Boulevard,Folsom,Pennsylvania,19033,-75.314181,39.896308,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy03165,95 Freeport Street,New Kensington,Pennsylvania,15068,-79.757562,40.553306,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy03598,599 Bell Tavern Blvd,Downingtown,Pennsylvania,19335,-75.683611,40.029544,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy03999,401 Chestnut Street,Carnegie,Pennsylvania,15106,-80.082072,40.409831,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy04013,200 East Plank Road,Altoona,Pennsylvania,16602,-78.401966,40.48192,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy04020,201 Fieldcrest Dr.,Nottingham,Pennsylvania,19362,-76.021494,39.750295,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy04039,300 8th Street,Ambridge,Pennsylvania,15003,-80.228654,40.589021,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy04058,734 East Washington St,New Castle,Pennsylvania,16101,-80.334289,40.9942,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy04082,410 East 12th Street,Erie,Pennsylvania,16503,-80.072478,42.126823,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy04085,6100 Penn Ave.,Pittsburgh,Pennsylvania,15206,-79.923726,40.460984,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy04091,7406 Church Street,Swissvale,Pennsylvania,15218,-79.889253,40.422283,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy04133,520 Penn Ave,Wilkinsburg,Pennsylvania,15221,-79.886492,40.444188,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy04152,5600 Wilkens Ave,Pittsburgh,Pennsylvania,15217,-79.927987,40.444046,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,No,
CVS/pharmacy04245,175 W. Beau St.,Washington,Pennsylvania,15301,-80.249264,40.170358,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy05011,9 Main St.,Wellsboro,Pennsylvania,16901,-77.298294,41.750267,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy05090,551 Harrisburg Ave,Lancaster,Pennsylvania,17604,-76.334726,40.059594,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy05093,100 Market Street,Warren,Pennsylvania,16365,-79.144966,41.843793,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy05096,204 East 2ND Street,Oil City,Pennsylvania,16301,-79.707839,41.428095,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy05098,330 W. Columbus Ave.,Corry,Pennsylvania,16407,-79.6335508,41.9147813,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy05459,116 West College Avenue,State College,Pennsylvania,16801,-77.862022,40.794148,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy05533,6050 Sterner's Way,Bethlehem,Pennsylvania,18017,-75.387963,40.682771,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy05700,3161 Mt. Morris Rd,Waynesburg,Pennsylvania,15370,-80.161813,39.89497,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy05709,"St. Rt. 255 & Shaffer Rd, Sandy Plaza",Dubois,Pennsylvania,15801,-78.740118,41.115456,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy05710,285 St Rt #288,Ellwood City,Pennsylvania,16117,-80.2650147,40.864576,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy05720,110 South Pleasant Avenue,Somerset,Pennsylvania,15501,-79.074371,40.007961,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy05749,1845 McClellandtown Road,Masontown,Pennsylvania,15461,-79.893457,39.865831,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy06764,1321 Allegheny Street,Jersey Shore,Pennsylvania,17740,-77.273738,41.201838,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy06999,550 Lancaster Avenue,Berwyn,Pennsylvania,19312,-75.437766,40.047918,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy07183,730 Newark Road,Landenberg,Pennsylvania,19350,-75.777536,39.762649,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy07189,755 Durham Road,Wrightstown,Pennsylvania,18940,-74.9926,40.278678,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy07253,1678 Susquehanna Rd.,Dresher,PA,19025,-75.169903,40.142785,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy07670,620 Old Philadelphia Rd.,Easton,Pennsylvania,18042,-75.2201302,40.6784382,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy07677,165 South Richland Ave.,York,Pennsylvania,17404,-76.748619,39.953356,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy08498,272 East Butler Ave,Ambler,Pennsylvania,19002,-75.217137,40.157187,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy10045,2239 Perkiomen Ave,Reading,Pennsylvania,19606,-75.893124,40.327908,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy10249,1650 MENOHER BLVD.,Johnstown,Pennsylvania,15905,-78.955867,40.315729,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy10377,339 E Lancaster Ave,Wynnewood,Pennsylvania,19096,-75.266954,39.994825,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy16498,201 Sunrise Blvd,Exton,PA,193412336,-75.629306,40.038013,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy16499,2331 E Lincoln Hwy,Langhorne,PA,190471812,-74.878916,40.179009,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy16521,125 Witchwood Dr,North Wales,PA,194541833,-75.23694,40.225188,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy16572,600 Chauvet Dr,Pittsburgh,PA,152751043,-80.18344,40.447308,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy16601,360 Waterfront Dr E,Homestead,PA,151205004,-79.91178,40.411841,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy16616,2250 Chemical Rd,Plymouth Meeting,PA,194621716,-75.29308,40.101202,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy16617,1717 Lebanon Church Rd,Pittsburgh,PA,152361450,0,0,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy16632,315 Colonnade Blvd,State College,PA,168032321,-77.904755,40.812919,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy16752,200 Butler Commons,Butler,PA,160012482,-79.941476,40.874926,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17186,87 Wagner Rd,Monaca,PA,150612141,-80.311144,40.680089,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17199,8931 Rte 30,North Huntingdon,PA,156422791,0,0,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17266,4600 High Pointe Blvd,Harrisburg,PA,171112447,-76.802239,40.244791,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17279,4801 McKnight Rd,Pittsburgh,PA,152373423,0,0,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17280,6416 Carlisle Pike,Mechanicsburg,PA,170502384,-77.007478,40.24676,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17317,913 Norland Ave,Chambersburg,PA,172014213,-77.631991,39.941742,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17321,610 N West End Blvd,Quakertown,PA,189514100,-75.368196,40.459449,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17336,550 Grandview Crossing Dr,Gibsonia,Pennsylvania,15044,-79.939668,40.641773,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17370,4220 N 5th Street Hwy,Temple,PA,195601738,-75.927661,40.396969,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17379,1200 Baltimore Pike,Springfield,PA,190642701,-75.349476,39.913635,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17448,2661 Freeport Rd,Pittsburgh,PA,152381441,-79.837154,40.53752,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17462,912 Airport Center Dr,Allentown,PA,181099385,0,0,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17493,170 S Lycoming Mall Rd,Muncy,PA,177568152,-76.832805,41.244277,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17572,100 Upland Square Dr,Pottstown,PA,194641575,-75.654589,40.268311,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17585,160 W Dekalb Pike,King of Prussia,PA,194062327,-75.365064,40.094172,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17618,6231 PENN AVE,PITTSBURGH,PA,152063978,0,0,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17638,201 S Hills Vlg,Pittsburgh,PA,152411408,-80.058969,40.344009,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy17680,749 N Krocks Rd,Allentown,PA,18106,-75.563959,40.565093,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/Pharnacy 16966,3400 Wilkes-Barre Township Commons,Wilkes Barre,Pennsylvania,18702,-75.84424,41.241626,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
Dallastown Medical Associates LLP,1010 Blymire Road,Dallastown,Pennsylvania,17313,-76.64758622,39.88896414,4/13/2021,https://dallastownmedical.com/,717-244-4531,300,4/9/2021,No,
Dao Pharmacy Inc. (DBA Rios Pharmacy),35 South Morton Ave.,Morton,Pennsylvania,19070,-75.327982,39.906977,4/13/2021,https://riospharmacy.com/,610-543-1858,200,4/9/2021,No,
Dauphin County/UPMC Vaccination Community Clinic,HACC West Lot,Harrisburg,Pennsylvania,17110,-76.8853492,40.3068517,4/13/2021,https://www.dauphincounty.org/government/departments/public_safety/emergency_information_for_citizens/covid_vaccine_info/index.php,844-876-2822,,,No,
Diamond Drugs Inc dba Diamond Pharm Svc,645 Kolter Drive,Indiana,Pennsylvania,15701,-79.173137,40.608293,4/13/2021,https://www.diamonddrug.com/,724-349-2830,,,Yes,
Doylestown Hospital,595 W State St,Doylestown,Pennsylvania,18901,-75.149502,40.302599,4/13/2021,https://www.doylestownhealth.org/about/news/health-news-and-blog/information-on-coronavirus-covid-19,215-489-7426,2340,4/9/2021,No,
EAST NORRITON PHARMACY,215 W GERMANTOWN PIKE,East Norriton,Pennsylvania,19401,-75.323486,40.146416,4/13/2021,https://eastnorritonpharmacy.com/covid-19-appointment-booking-1/,484-370-1111,1170,4/9/2021,No,
East Shore Pharmacy,2723 Agate Street,Harrisburg,Pennsylvania,17110,-76.893913,40.290912,4/13/2021,,717-213-0968,500,4/9/2021,No,
ELFHCC-E Liberty Fam Hlth Care Ctr,6023 HARVARD ST,Pittsburgh,Pennsylvania,15206,-79.923252,40.462871,4/13/2021,https://www.ELFHCC.com,412-661-1444,400,4/9/2021,No,
Endless Mountains Pharmacy,1638 State Route 106,Clifford,Pennsylvania,18413,-75.598187,41.648746,4/13/2021,https://www.wagnersrx.com/,570-222-7500,300,4/9/2021,No,
Erics RX Shoppe,810 Welsh Rd,Horsham,Pennsylvania,19044,-75.179284,40.178513,4/13/2021,https://www.ericsrx.com,215-509-5597,1170,4/9/2021,No,
Erie County Health Department,606 West 2nd Street,Erie,Pennsylvania,16507,-80.101529,42.128349,4/13/2021,https://eriecountypa.gov/covid-19/covid-19-vaccine/,814-451-6700,1170,4/9/2021,No,
Evergreen Pharmacy II Inc,702 Dekalb Pike,Blue Bell,Pennsylvania,19422,-75.286948,40.170036,4/13/2021,https://evergreenpharmrx.com/,610-616-0608,500,4/9/2021,No,
Excela Health Frick Hospital,508 South Church Street,Mount Pleasant,Pennsylvania,15666,-79.548301,40.146345,4/13/2021,https://www.excelahealth.org/Home/Coronavirus-Information/COVID-19-Vaccine-Information,724-832-4244,2500,4/9/2021,No,
Excela Health Latrobe Hospital,One Mellon Way,Latrobe,Pennsylvania,15650,-79.3857179,40.2922573,4/13/2021,https://www.excelahealth.org/Home/Coronavirus-Information/COVID-19-Vaccine-Information,724-832-4244,2500,4/9/2021,No,
Excela Health WCIM-Greensburg,4000 hempfield plaza blvd,Greensburg,Pennsylvania,15601,-79.581891,40.310044,4/13/2021,https://www.excelahealth.org/Home/Coronavirus-Information/COVID-19-Vaccine-Information,724-689-1690,,,No,
Exeter Township Health Center,2795 Sullivans Trail,Falls,Pennsylvania,18615,-75.857415,41.445364,4/13/2021,,570-704-4117,100,4/9/2021,No,
Family First Health-George Street Center,116 South George Street,York,Pennsylvania,17401,-76.726844,39.960647,4/13/2021,https://www.familyfirsthealth.org/covid-19-vaccine-info,717-356-2242,300,4/9/2021,No,
Family First Health-Gettysburg Center,Peebles Plaza,Gettysburg,Pennsylvania,17325,-77.201049,39.843976,4/13/2021,https://www.familyfirsthealth.org/locations/gettysburg,717-337-9400,100,4/9/2021,No,
Family Halth Clinic of Bk-Susquehanna,2872 Turnpike Street,Susquehanna,Pennsylvania,18847,-75.593922,41.947349,4/13/2021,,570-853-3135,600,4/9/2021,No,
Fishers Pharmacy,654 East Pitt St,Bedford,Pennsylvania,15522,-78.491997,40.018575,4/13/2021,https://www.fisherspharmacy.net,814-623-5512,1000,4/9/2021,No,
FPC-Harrisburg Commerce St Fam Prac Ctr,2850 Commerce Drive,Harrisburg,Pennsylvania,17110,-76.836319,40.312177,4/13/2021,https://www.fpcdoctors.com/harrisburg-commerce/,717-657-1361,500,4/9/2021,No,
FPC-Hughesville Family Practice Center,246 South Main Street,Hughesville,Pennsylvania,17737,-76.728156,41.237445,4/13/2021,,,200,4/9/2021,No,
FPC-Mifflintown Family Practice Center,2813 Industrial Park Road,Mifflintown,Pennsylvania,17059,-77.368437,40.583402,4/13/2021,,717-436-8283,300,4/9/2021,No,
FPC-Mill Hall Family Practice Center,7133 Nittany Valley Drive,Mill Hall,Pennsylvania,17751,-77.489567,41.064673,4/13/2021,https://www.fpcdoctors.com/mill-hall/,570-726-7992,100,4/9/2021,No,
FPC-Selinsgrove 1 Family Practice Center,21 Susquehanna Valley Mall Drive,Selinsgrove,Pennsylvania,17870,-76.848969,40.829295,4/13/2021,https://www.fpcdoctors.com/locations/selinsgrove/,570-374-7852,700,4/9/2021,No,
Franklin County Community Vaccination Clinic,3055 Black Gap Road,Chambersburg,Pennsylvania,17202,-77.57127,39.956626,4/13/2021,https://www.wellspan.org/covid19/covid-19-vaccine/,1-855-851-3641,,,No,
Fresenius Kidney Care Bryn Mawr Dialysis,780 W Lancaster Avenue,Bryn Mawr,Pennsylvania,19010,-75.316826,40.020663,4/13/2021,,1-800-881-5101,,,Yes,
Fulton County Medical Center,Fulton County Medical Center,MC CONNELLSBURG,PA,172338559,-78.008912,39.936749,4/13/2021,,717-485-3155,400,4/9/2021,No,
Geisinger St. Lukes Hospital,100 Paramount Blvd,Orwigsburg,Pennsylvania,17961,-76.088038,40.65259,4/13/2021,https://geisingerstlukes.org/covid-19/covid-19-vaccine,866-785-8537,1170,4/9/2021,No,
Giant Eagle Pharmacy #0023,100 Buffalo Plaza,Sarver,Pennsylvania,16055,-79.725839,40.706397,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy #2445,419 South Main Street,Greenville,Pennsylvania,16125,-80.370939,41.409997,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy #2455,3220 Leechburg Rd,New Kensington,Pennsylvania,15068,-79.709443,40.585272,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-10,8901 Rt. 30 N. Huntingdon Sq,North Huntingdon,Pennsylvania,15642,-79.688671,40.319277,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-1481,541 Allegheny Blvd.,Franklin,Pennsylvania,16323,-79.80862,41.402269,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-15,1701 LINCOLN HWY,North Versailles,Pennsylvania,15137,-79.786217,40.370531,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-16,1451 Scalp Ave.,Johnstown,Pennsylvania,15904,-78.85756,40.270761,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-17,6320 Shakespeare St.,Pittsburgh,Pennsylvania,15206,-79.921415,40.458867,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-18,1671 Butler Plank Road,Glenshaw,Pennsylvania,15116,-79.963694,40.537471,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-19,1233-1245 Broad St,Johnstown,Pennsylvania,15906,-78.939716,40.345605,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-2,1800 McKees Rocks Road,Mc Kees Rocks,Pennsylvania,15136,-80.097088,40.469379,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-2401,1025 Washington Pike,Bridgeville,Pennsylvania,15017,-80.108663,40.36535,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-2402,4192 Glades Pike,Somerset,Pennsylvania,15501,-79.1114333,40.0093379,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-2404,200 Allegheny River Blvd.,Verona,Pennsylvania,15147,-79.844001,40.498134,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-2405,999 N. Eighty Eight Road,Rices Landing,Pennsylvania,15357,-80.013875,39.943189,4/13/2021,https://www.gianteagle.com/covidvaccine,1-724-592-6057,,,Yes,
Giant Eagle Pharmacy-2409,1705 S. Braddock Ave.,Pittsburgh,Pennsylvania,15218,-79.888323,40.425201,4/13/2021,https://www.gianteagle.com/covidvaccine,1-412-371-4456,,,Yes,
Giant Eagle Pharmacy-2412,2001 Lincoln Way,White Oak,Pennsylvania,15131,-79.805083,40.335381,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-2413,2000 Penny Lane Drive,Jeannette,Pennsylvania,15644,-79.643437,40.363789,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-2414,510 East Pitt St.,Bedford,Pennsylvania,15522,-78.495764,40.01931,4/13/2021,https://www.gianteagle.com/covidvaccine,1-814-623-1188,,,Yes,
Giant Eagle Pharmacy-2415,1521 N Main Street  EXT,Butler,Pennsylvania,16001,-79.907563,40.896343,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-2416,200 Station Street,Mc Donald,Pennsylvania,15057,-80.237004,40.370067,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-2419,581 Pittsburgh Rd,Uniontown,Pennsylvania,15401,-79.726669,39.92241,4/13/2021,https://www.gianteagle.com/covidvaccine,1-724-438-2570,,,Yes,
Giant Eagle Pharmacy-2421,117 S. Walnut Street,Ligonier,Pennsylvania,15658,-79.244388,40.245988,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-2424,1300 Country Club Road,Monongahela,Pennsylvania,15063,-79.91567,40.172158,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-2435,1117 Milltown Road,Verona,Pennsylvania,15147,-79.789959,40.49831,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-2440,700 Moraine Point Plz,Butler,Pennsylvania,16001,-79.9085142,40.8668263,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-2460,105 Robertson Street,West Newton,Pennsylvania,15089,-79.763805,40.218512,4/13/2021,https://www.gianteagle.com/covidvaccine,724-872-5443,,,Yes,
Giant Eagle Pharmacy-2491,400 Northtowne Square,Gibsonia,Pennsylvania,15044,-79.940572,40.635717,4/13/2021,https://www.gianteagle.com/covidvaccine,1-724-443-7979,,,Yes,
Giant Eagle Pharmacy-2492,51 Walsh Road,Pittsburgh,Pennsylvania,15205,-80.071037,40.439692,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-25,1029 West View Park Drive,Pittsburgh,Pennsylvania,15229,-80.037028,40.516496,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-29,1356 Hoffmann Boulevard,West Mifflin,Pennsylvania,15122,-79.869395,40.382401,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-31,Baptist & Grove Rds.-Caste Vlg,Pittsburgh,Pennsylvania,15236,-79.9759911,40.3432807,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-32,4810 OLD WILLIAM PENN HWY,Export,Pennsylvania,15632,-79.663104,40.423951,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-35,1717 COCHRAN RD,Pittsburgh,Pennsylvania,15220,-80.064243,40.393164,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-37,5 Quaker Village S.C.,Leetsdale,Pennsylvania,15056,-80.2105248,40.5661982,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-38,1901 Murray Avenue,Pittsburgh,Pennsylvania,15217,-79.922806,40.436011,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-39,331 Washington Road,Washington,Pennsylvania,15301,-80.223849,40.186373,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-4,5055 Library Road,Bethel Park,Pennsylvania,15102,-80.025996,40.339165,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-40,5550 Centre Ave,Pittsburgh,Pennsylvania,15232,-79.934696,40.456996,4/13/2021,https://www.gianteagle.com/covidvaccine,724-941-7220,,,Yes,
Giant Eagle Pharmacy-4008,223 Grove City Rd.,Slippery Rock,Pennsylvania,16057,-80.051916,41.070462,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-4012,2357 E. State Street,Hermitage,Pennsylvania,16148,-80.466535,41.233492,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-4035,606 Erie St.,Edinboro,Pennsylvania,16412,-80.127804,41.886668,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-4038,4265 Buffalo Rd,Erie,Pennsylvania,16510,-80.004773,42.145237,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-4050,9125 Ridge Road,Girard,Pennsylvania,16417,-80.301825,42.009974,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-4077,3230 Wilmington Road,New Castle,Pennsylvania,16105,-80.357161,41.053426,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-4093,2501 West 12th St.,Erie,Pennsylvania,16505,-80.136586,42.103045,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-41,41 Towne Center Drive,Leechburg,Pennsylvania,15656,-79.611087,40.608295,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-42,206 Seven Fields Blvd,Seven Fields,Pennsylvania,16046,-80.057455,40.689224,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
Giant Eagle Pharmacy-4237,2067 Interchange Rd,Erie,Pennsylvania,16509,-80.100836,42.064491,4/13/2021,https://www.gianteagle.com/covidvaccine,,,,Yes,
